neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
South of Market,94103,Aparthotel,Private room,3,4,1,2,Real Bed,$199.00,,,$0.00,$30.00,1,$7.00,1,28,9,9,8/23/19,10/7/19,89,10,9,10,10,9,9,strict_14_with_grace_period
South of Market,94103,Aparthotel,Private room,2,7,1,2,Real Bed,$199.00,,,$0.00,$30.00,1,$7.00,1,28,5,5,9/13/19,10/6/19,76,9,9,10,10,10,8,strict_14_with_grace_period
Nob Hill,94109,Condominium,Entire home/apt,4,1,1,1,Real Bed,$200.00,,,$0.00,$70.00,1,$0.00,3,1125,0,0,,,,,,,,,,flexible
Crocker Amazon,94014,House,Private room,5,1,2,3,Real Bed,$160.00,,,$100.00,$70.00,3,$20.00,1,1125,6,6,9/6/19,10/9/19,100,10,10,10,10,9,10,flexible
Castro/Upper Market,94114,Loft,Entire home/apt,6,2,2,2,Real Bed,$400.00,,,$0.00,$450.00,1,$0.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Haight Ashbury,94117,House,Private room,2,1,1,1,Real Bed,$100.00,,,$0.00,$50.00,1,$0.00,3,1125,3,3,8/29/19,9/29/19,93,10,10,10,10,10,9,moderate
Bernal Heights,94112,House,Private room,2,1,1,1,Real Bed,$174.00,,,$500.00,$75.00,2,$0.00,30,1125,8,8,9/12/19,10/9/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,House,Private room,2,1,1,1,Real Bed,$70.00,,,$0.00,$50.00,1,$0.00,3,1125,6,6,8/19/19,10/5/19,100,10,10,10,10,10,10,moderate
Potrero Hill,94107,Apartment,Shared room,1,2,1,1,Real Bed,$50.00,,,,$40.00,1,$50.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Bayview,94124,House,Private room,3,1.5,1,2,Real Bed,$180.00,,,$0.00,$60.00,2,$45.00,1,27,5,5,9/8/19,10/6/19,92,10,10,10,10,9,10,strict_14_with_grace_period
Outer Mission,94112,House,Entire home/apt,2,1,0,1,Real Bed,$129.00,,,$100.00,$50.00,1,$0.00,2,21,8,8,8/26/19,10/11/19,100,10,10,10,10,9,10,moderate
Bernal Heights,94112,House,Private room,3,1,1,1,Real Bed,$154.00,,,$0.00,$85.00,2,$15.00,30,1125,5,5,9/8/19,10/7/19,100,10,10,10,10,9,10,strict_14_with_grace_period
South of Market,94107,Serviced apartment,Shared room,1,2.5,1,5,Real Bed,$50.00,,,$0.00,$60.00,1,$38.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
South of Market,94107,Apartment,Shared room,4,2.5,1,4,Real Bed,$50.00,,,,$40.00,1,$50.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
South of Market,94158,Serviced apartment,Shared room,1,2,1,4,Real Bed,$50.00,,,,$40.00,1,$50.00,30,1125,1,1,10/3/19,10/3/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Potrero Hill,94107,Apartment,Shared room,4,2,1,4,Real Bed,$45.00,,,,$40.00,1,$50.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
South of Market,94103,Apartment,Private room,2,1,1,1,Real Bed,$129.00,,,$0.00,$49.00,1,$0.00,1,90,6,6,9/3/19,10/9/19,87,8,8,8,9,9,8,strict_14_with_grace_period
Excelsior,94112,Guest suite,Entire home/apt,5,1,2,3,Real Bed,$90.00,,,$0.00,$60.00,2,$10.00,1,29,15,15,9/2/19,10/13/19,97,10,9,10,10,10,10,moderate
Bayview,94124,House,Private room,3,1.5,1,2,Real Bed,$160.00,,,$0.00,$60.00,2,$45.00,1,27,6,6,8/25/19,9/30/19,77,9,9,10,10,9,9,strict_14_with_grace_period
Bernal Heights,94110,Apartment,Entire home/apt,4,1,2,3,Real Bed,$250.00,,,$500.00,$170.00,4,$7.00,3,180,1,1,9/27/19,9/27/19,100,10,10,10,10,10,10,moderate
Outer Mission,94112,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$138.00,,,$200.00,$80.00,2,$30.00,1,28,3,3,9/18/19,9/26/19,100,10,10,10,10,10,10,moderate
Financial District,94103,Condominium,Entire home/apt,5,2,2,3,Real Bed,$650.00,,,"$2,500.00",$400.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Bayview,94124,Condominium,Private room,2,1,1,1,Real Bed,$80.00,,,$500.00,$60.00,2,$40.00,30,180,1,1,10/1/19,10/1/19,100,10,10,10,10,10,10,flexible
Bayview,94124,House,Private room,2,1.5,1,1,Real Bed,$85.00,,,$0.00,$50.00,1,$0.00,1,14,6,6,8/27/19,9/29/19,93,10,10,10,10,9,9,moderate
Bayview,94124,House,Private room,3,1.5,1,2,Real Bed,$160.00,,,$0.00,$60.00,2,$45.00,1,27,3,3,9/29/19,10/6/19,100,10,10,10,10,9,10,strict_14_with_grace_period
Bernal Heights,94110,Cottage,Entire home/apt,6,2,2,3,Real Bed,$449.00,,,$350.00,$125.00,2,$25.00,2,21,1,1,9/26/19,9/26/19,100,10,10,10,10,6,8,moderate
Bayview,94124,House,Private room,3,1.5,1,2,Real Bed,$160.00,,,$0.00,$60.00,2,$45.00,1,27,4,4,9/16/19,10/5/19,90,10,9,10,10,9,9,strict_14_with_grace_period
South of Market,94105,Apartment,Entire home/apt,2,1,0,1,Real Bed,$150.00,,,$0.00,$65.00,1,$35.00,2,1125,4,4,9/2/19,9/29/19,95,10,9,9,10,10,10,strict_14_with_grace_period
Lakeshore,94132,Apartment,Private room,2,1,1,1,Real Bed,$98.00,,,,,1,$0.00,30,30,0,0,,,,,,,,,,flexible
Noe Valley,94114,Cottage,Entire home/apt,2,1,1,1,Real Bed,$240.00,,,,,1,$0.00,3,90,3,3,9/22/19,10/13/19,100,10,10,9,10,10,10,flexible
Parkside,94116,Guest suite,Private room,8,2,4,4,Real Bed,$243.00,,,$500.00,$120.00,1,$0.00,2,25,2,2,9/29/19,10/6/19,90,10,10,10,10,10,9,flexible
South of Market,94103,House,Private room,1,1,1,1,Real Bed,$165.00,,,,,1,$0.00,2,4,2,2,9/27/19,10/5/19,90,7,10,9,10,10,9,flexible
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$79.00,,,$150.00,$60.00,1,$0.00,1,27,10,10,9/11/19,10/13/19,100,10,10,10,10,10,10,moderate
Bayview,94134,Condominium,Private room,2,1,1,1,Real Bed,$99.00,,,,,1,$0.00,30,90,0,0,,,,,,,,,,flexible
Western Addition,94117,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,$299.00,,,$500.00,$110.00,3,$20.00,2,30,6,6,9/9/19,10/6/19,83,9,9,8,8,9,8,moderate
Downtown/Civic Center,94102,Condominium,Entire home/apt,3,1,0,1,Real Bed,$118.00,,,,,1,$0.00,30,32,0,0,,,,,,,,,,flexible
Chinatown,94108,Serviced apartment,Entire home/apt,2,1,0,0,Real Bed,$95.00,,,$0.00,$65.00,1,$0.00,2,7,1,1,8/29/19,8/29/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Chinatown,94108,Serviced apartment,Entire home/apt,2,1,0,1,Real Bed,$95.00,,,$0.00,$65.00,1,$0.00,2,7,1,1,10/3/19,10/3/19,100,8,10,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94109,Apartment,Entire home/apt,3,1,0,1,Real Bed,$208.00,,,$500.00,$100.00,2,$50.00,2,1125,2,2,9/1/19,10/6/19,100,10,9,10,10,10,10,moderate
Outer Richmond,94121,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$150.00,,,$250.00,$109.00,1,$0.00,2,10,6,6,9/7/19,10/13/19,97,10,10,10,10,9,9,strict_14_with_grace_period
South of Market,94107,Condominium,Entire home/apt,4,1,1,2,Real Bed,$168.00,,,,,1,$0.00,360,1125,1,1,8/25/19,8/25/19,,,,,,,,flexible
Haight Ashbury,94117,Condominium,Entire home/apt,2,1,2,1,Real Bed,$129.00,,,$500.00,$65.00,1,$0.00,30,31,0,0,,,,,,,,,,strict_14_with_grace_period
Western Addition,94117,Condominium,Entire home/apt,2,1.5,1,0,Real Bed,$115.00,,,,$250.00,2,$0.00,6,8,0,0,,,,,,,,,,strict_14_with_grace_period
Castro/Upper Market,94114,House,Entire home/apt,6,3,3,3,Real Bed,$278.00,,,$500.00,$420.00,1,$0.00,30,1125,0,0,,,,,,,,,,strict
Twin Peaks,94131,House,Entire home/apt,4,2,3,3,Real Bed,$200.00,,,"$2,000.00",$125.00,4,$50.00,30,182,1,1,10/1/19,10/1/19,100,10,10,10,10,10,10,flexible
South of Market,94103,Aparthotel,Private room,2,7,1,2,Real Bed,$199.00,,,$0.00,$30.00,1,$7.00,1,28,7,7,9/3/19,9/29/19,77,9,8,9,9,10,9,strict_14_with_grace_period
South of Market,94103,Aparthotel,Private room,3,7,1,2,Real Bed,$199.00,,,$0.00,$30.00,1,$7.00,1,28,10,10,9/7/19,10/4/19,68,8,7,9,10,9,7,strict_14_with_grace_period
Inner Sunset,94116,House,Private room,2,1.5,1,1,Real Bed,$200.00,,,$150.00,$30.00,2,$50.00,1,364,4,4,9/14/19,10/11/19,100,10,10,10,10,10,10,flexible
Mission,94103,House,Private room,2,5,1,1,Real Bed,$67.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Mission,94103,House,Private room,2,5,1,1,Real Bed,$67.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Mission,94103,House,Private room,2,5,1,1,Real Bed,$67.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Mission,94103,House,Private room,2,5,1,1,Real Bed,$67.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Nob Hill,94109,House,Private room,1,5,1,1,Real Bed,$60.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Mission,94103,House,Private room,2,5,1,1,Real Bed,$67.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Nob Hill,94109,House,Private room,2,5,1,1,Real Bed,$67.00,,,$0.00,$100.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Inner Richmond,94015,Apartment,Private room,2,1,1,1,Real Bed,$150.00,,,,$30.00,1,$0.00,3,10,6,6,9/4/19,10/4/19,80,7,8,8,8,10,8,flexible
South of Market,94103,Apartment,Entire home/apt,8,2,2,3,Real Bed,"$4,000.00",,,$500.00,$80.00,6,$40.00,1,18,0,0,,,,,,,,,,flexible
Outer Mission,94112,Guest suite,Entire home/apt,4,1,1,2,Real Bed,$188.00,,,$230.00,$95.00,1,$18.00,1,1125,5,5,8/25/19,9/28/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94102,Apartment,Shared room,1,1,1,1,Real Bed,$34.00,,,$250.00,$89.00,1,$0.00,32,1125,1,1,9/4/19,9/4/19,80,6,6,10,10,10,8,strict_14_with_grace_period
Downtown/Civic Center,94102,Apartment,Shared room,1,1,1,1,Real Bed,$34.00,,,$250.00,$89.00,1,$0.00,32,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Mission,94110,House,Private room,1,1,1,0,Real Bed,$65.00,,,,,1,$0.00,30,90,0,0,,,,,,,,,,flexible
Outer Mission,94112,Guest suite,Entire home/apt,3,1,0,1,Real Bed,$199.00,,,$280.00,$80.00,1,$25.00,1,1125,7,7,9/2/19,9/29/19,100,10,10,10,10,10,9,strict_14_with_grace_period
Inner Sunset,94122,House,Private room,3,1,1,2,Real Bed,$65.00,,,,,1,$0.00,33,90,0,0,,,,,,,,,,strict_14_with_grace_period
Noe Valley,94114,House,Entire home/apt,5,1,3,4,Real Bed,$200.00,,,"$1,000.00",$200.00,1,$0.00,30,180,0,0,,,,,,,,,,strict_14_with_grace_period
Castro/Upper Market,94110,Apartment,Entire home/apt,4,1,1,2,Real Bed,$157.00,,,"$1,000.00",$110.00,2,$50.00,30,365,0,0,,,,,,,,,,flexible
Potrero Hill,94107,House,Private room,2,1.5,2,1,Real Bed,$174.00,,,,$75.00,1,$0.00,2,30,1,1,9/13/19,9/13/19,100,10,10,10,10,10,10,flexible
Potrero Hill,94107,House,Private room,2,1.5,2,1,Real Bed,$174.00,,,,$75.00,1,$0.00,2,30,2,2,9/21/19,9/27/19,100,10,10,9,10,10,10,flexible
South of Market,94103,Aparthotel,Private room,3,7,1,2,Real Bed,$199.00,,,$0.00,$30.00,1,$7.00,1,28,7,7,9/6/19,10/11/19,71,9,7,9,10,9,7,strict_14_with_grace_period
South of Market,94103,Apartment,Private room,2,1,1,1,Real Bed,"$2,999.00",,,$0.00,$40.00,1,$0.00,1,14,16,16,9/4/19,10/13/19,100,10,10,10,10,10,10,flexible
South of Market,94103,Apartment,Private room,2,1,1,1,Real Bed,"$2,999.00",,,$0.00,$40.00,1,$0.00,1,13,16,16,9/5/19,10/4/19,100,10,10,10,10,10,10,flexible
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Hotel room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Downtown/Civic Center,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Financial District,94108,Boutique hotel,Private room,2,1,1,1,Real Bed,$199.00,,,$0.00,$0.00,2,$0.00,5,5,0,0,,,,,,,,,,strict_14_with_grace_period
Outer Richmond,94121,Apartment,Entire home/apt,12,3,4,5,Real Bed,$107.00,,,$120.00,$100.00,4,$15.00,1,30,7,7,9/17/19,10/13/19,86,9,9,10,9,10,9,moderate
Bayview,94124,House,Private room,1,1,0,1,Real Bed,$45.00,,,"$1,000.00",,1,$10.00,90,1125,0,0,,,,,,,,,,flexible
Bayview,94124,House,Private room,1,1,1,1,Real Bed,$50.00,,,,,1,$0.00,30,120,1,1,10/8/19,10/8/19,100,10,10,10,10,10,10,flexible
Western Addition,94115,Apartment,Entire home/apt,5,2,2,3,Real Bed,$390.00,,,"$1,000.00",$150.00,4,$30.00,4,8,1,1,9/28/19,9/28/19,80,10,8,10,10,10,8,strict_14_with_grace_period
Treasure Island/YBI,94130,Apartment,Shared room,1,1,1,1,Real Bed,$95.00,,,,,1,$0.00,30,30,0,0,,,,,,,,,,flexible
Outer Sunset,94116,House,Private room,4,1,1,2,Real Bed,$152.00,,,$100.00,$60.00,2,$20.00,1,30,0,0,,,,,,,,,,flexible
Western Addition,94117,Apartment,Private room,1,1,1,0,Real Bed,$70.00,,,,,1,$0.00,30,40,0,0,,,,,,,,,,flexible
Outer Richmond,94121,House,Private room,2,1,1,1,Real Bed,$99.00,,,$0.00,$40.00,1,$20.00,2,21,4,4,9/5/19,9/27/19,95,10,10,10,10,10,9,strict_14_with_grace_period
Nob Hill,94109,Aparthotel,Entire home/apt,2,1,1,1,Real Bed,$199.00,,,$0.00,$30.00,1,$7.00,1,28,6,6,9/9/19,10/10/19,73,8,8,9,10,9,9,strict_14_with_grace_period
Mission,94110,House,Entire home/apt,8,3.5,4,5,Real Bed,$890.00,,,$0.00,$300.00,1,$7.00,3,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Noe Valley,94114,Guest suite,Entire home/apt,3,1,1,1,Real Bed,$139.00,,,$0.00,$80.00,1,$0.00,1,30,5,5,9/27/19,10/10/19,96,10,10,10,10,10,9,moderate
Outer Richmond,94121,House,Entire home/apt,3,1,1,1,Real Bed,$125.00,,,$250.00,$75.00,1,$50.00,30,60,4,4,9/13/19,10/6/19,100,10,10,10,10,10,10,moderate
Mission,94110,House,Entire home/apt,7,3,4,4,Real Bed,$450.00,,,$750.00,$200.00,4,$25.00,2,30,2,2,9/27/19,10/6/19,100,10,10,8,10,10,10,moderate
Mission,94110,Apartment,Private room,5,2,5,5,Real Bed,$107.00,,,,$500.00,1,$0.00,30,365,0,0,,,,,,,,,,strict_14_with_grace_period
Mission,94110,House,Private room,3,1,1,2,Real Bed,$99.00,,,$0.00,$75.00,1,$0.00,2,1125,1,1,10/12/19,10/12/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Ocean View,94132,House,Private room,2,1,1,1,Real Bed,$84.00,,,,$49.00,2,$50.00,1,14,0,0,,,,,,,,,,strict_14_with_grace_period
Pacific Heights,94115,Condominium,Entire home/apt,2,1,0,1,Real Bed,$225.00,,,"$2,000.00",$85.00,1,$0.00,1,29,2,2,10/11/19,10/13/19,100,10,10,10,10,10,10,moderate
Western Addition,94115,Apartment,Shared room,3,2,1,3,Real Bed,$33.00,,,$0.00,$0.00,1,$33.00,30,1125,1,1,9/19/19,9/19/19,,,,,,,,flexible
Western Addition,94115,Apartment,Shared room,3,2,1,3,Real Bed,$38.00,,,$0.00,$20.00,1,$32.00,30,1125,0,0,,,,,,,,,,flexible
Western Addition,94115,Apartment,Shared room,3,2,1,3,Real Bed,$45.00,,,$0.00,$0.00,1,$46.00,30,1125,0,0,,,,,,,,,,flexible
Western Addition,94115,Apartment,Shared room,3,2,1,3,Real Bed,$38.00,,,$0.00,$20.00,1,$32.00,30,1125,0,0,,,,,,,,,,flexible
Ocean View,94112,House,Private room,2,1,1,1,Real Bed,$58.00,,,,,1,$0.00,30,1125,1,1,9/10/19,9/10/19,,,,,,,,strict_14_with_grace_period
South of Market,94103,House,Shared room,4,3,1,4,Real Bed,$37.00,,,$0.00,$0.00,1,$35.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Bayview,94124,Condominium,Private room,2,1,1,1,Real Bed,$75.00,,,,,1,$0.00,30,90,1,1,9/12/19,9/12/19,,,,,,,,flexible
Downtown/Civic Center,CA 94109,Apartment,Entire home/apt,4,2,2,2,Real Bed,$300.00,,,,$244.00,2,$0.00,30,90,0,0,,,,,,,,,,flexible
South of Market,CA 94103,Apartment,Entire home/apt,2,1,1,1,Real Bed,$229.00,,,,$148.00,1,$0.00,30,90,0,0,,,,,,,,,,flexible
South of Market,CA 94103,Apartment,Entire home/apt,2,1,1,1,Real Bed,$208.00,,,,$148.00,1,$0.00,30,90,0,0,,,,,,,,,,flexible
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$39.00,,,$200.00,$100.00,1,$0.00,30,90,0,0,,,,,,,,,,flexible
Haight Ashbury,94117,Condominium,Private room,2,2,1,1,Real Bed,$119.00,,,$0.00,$40.00,1,$20.00,2,1125,8,8,9/18/19,10/11/19,100,10,10,10,10,10,10,moderate
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$39.00,,,$200.00,$100.00,1,$0.00,30,90,0,0,,,,,,,,,,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$180.00,,,,$150.00,1,$0.00,30,90,0,0,,,,,,,,,,flexible
Financial District,94104,Apartment,Entire home/apt,3,1,1,1,Real Bed,$160.00,,,,,1,$0.00,30,1125,1,1,9/27/19,9/27/19,,,,,,,,flexible
Western Addition,94109,Condominium,Entire home/apt,4,1,0,2,Real Bed,$185.00,,,,,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Ocean View,94132,House,Entire home/apt,8,3,3,3,Real Bed,$597.00,,,$300.00,$120.00,7,$50.00,2,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Glen Park,94131,House,Entire home/apt,6,2,3,3,Real Bed,$549.00,,,$450.00,$160.00,3,$20.00,2,28,4,4,9/15/19,10/10/19,100,10,9,10,10,10,10,moderate
Castro/Upper Market,94114,Apartment,Entire home/apt,7,1,3,3,Real Bed,$500.00,,,$0.00,$100.00,1,$0.00,30,67,0,0,,,,,,,,,,flexible
Lakeshore,94132,Apartment,Private room,2,1,1,1,Real Bed,$100.00,,,,,1,$0.00,30,30,0,0,,,,,,,,,,flexible
Castro/Upper Market,94114,Apartment,Entire home/apt,2,1,1,0,Real Bed,$109.00,,,$0.00,$125.00,1,$0.00,30,1125,0,0,,,,,,,,,,flexible
Bernal Heights,94110,Apartment,Entire home/apt,2,1,1,1,Real Bed,$150.00,,,,,1,$0.00,30,90,0,0,,,,,,,,,,flexible
Outer Sunset,94122,Apartment,Entire home/apt,4,1,1,0,Real Bed,$180.00,,,,$70.00,1,$0.00,1,1125,3,3,9/18/19,9/28/19,93,9,9,9,10,10,10,flexible
Marina,94123,Apartment,Private room,1,1,1,1,Real Bed,$80.00,,,$0.00,$0.00,1,$0.00,30,365,0,0,,,,,,,,,,moderate
Castro/Upper Market,94114,House,Entire home/apt,2,1,1,1,Real Bed,$208.00,,,$0.00,$75.00,2,$50.00,1,28,7,7,9/4/19,10/13/19,97,10,10,10,10,10,9,moderate
Downtown/Civic Center,94108,Serviced apartment,Entire home/apt,3,1,1,1,Real Bed,$95.00,,,$0.00,$65.00,1,$0.00,2,7,0,0,,,,,,,,,,strict_14_with_grace_period
Western Addition,94115,Condominium,Private room,2,1.5,1,1,Real Bed,$120.00,,,$300.00,$80.00,1,$0.00,3,7,1,1,9/18/19,9/18/19,100,10,10,10,10,10,10,flexible
Mission,CA 94103,Apartment,Entire home/apt,4,2,2,2,Real Bed,$255.00,,,,$244.00,2,$0.00,30,90,0,0,,,,,,,,,,flexible
Western Addition,94115,Apartment,Shared room,3,2,1,3,Real Bed,$37.00,,,$0.00,$20.00,1,$32.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Western Addition,94115,Apartment,Shared room,3,2,1,3,Real Bed,$37.00,,,$0.00,$20.00,1,$32.00,30,1125,0,0,,,,,,,,,,flexible
Haight Ashbury,94117,House,Entire home/apt,4,1.5,2,2,Real Bed,$450.00,,,,,1,$0.00,3,14,0,0,,,,,,,,,,flexible
Diamond Heights,94131,House,Private room,2,1,1,1,Real Bed,$100.00,,,$0.00,$75.00,1,$0.00,1,14,2,2,10/10/19,10/13/19,100,10,10,10,10,10,10,flexible
North Beach,94133,Apartment,Entire home/apt,5,2,2,2,Real Bed,$200.00,,,"$1,000.00",$200.00,4,$10.00,30,180,0,0,,,,,,,,,,moderate
Outer Richmond,94121,House,Private room,1,1,1,1,Real Bed,$72.00,,,$0.00,$90.00,1,$12.00,31,1125,0,0,,,,,,,,,,flexible
Outer Richmond,94121,House,Private room,2,1,1,1,Real Bed,$140.00,,,$0.00,$40.00,1,$20.00,2,21,3,3,9/26/19,10/7/19,93,10,10,10,10,10,9,strict_14_with_grace_period
South of Market,94103,House,Shared room,4,3,1,4,Real Bed,$35.00,,,$0.00,$20.00,1,$35.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Ocean View,94112,House,Shared room,2,1,1,2,Real Bed,$35.00,,,$0.00,$20.00,1,$36.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
